,index,Avg_sent,Descriptors,Freq
466,become,0.8529411764705882,"move ,this ,you ,satsun ,it ,i ,officer ,you ,pes ,you ,drivercourse",12
467,pop,0.8235294117647058,"i ,ord ,who ,away",12
468,concern,0.8035714285714286,"have ,u ,u ,that ,u ,u ,that ,address ,you ,is ,have ,is",12
469,track,0.8732394366197183,"running ,run ,stadium ,sit ,route ,yr ,attendancehope ,we ,mention ,you",12
470,inform,0.7962962962962963,"u ,me ,unit ,u ,i ,them ,unit ,you ,me ,move ,you ,you",12
471,certain,1.0,im,12
473,counts,0.8620689655172413,"kenna ,get ,uses ,slip ,checked ,slip ,checked ,ippt ,ippt",12
474,individual,1.0,theres,12
476,overseas,0.8571428571428571,"what ,i",12
477,miss,0.8240740740740741,"i ,gng ,you ,cycle ,you ,i ,gng ,you ,cycle ,you ,sessioni ,you ,you ,day ,i ,is ,you ,prayers ,you ,prayers",12
478,dun,0.8431372549019608,"go ,go ,think ,wrote ,want ,think ,need ,need ,have",12
479,yrs,1.0,seems,12
481,join,0.8681318681318682,"you ,pt ,tag ,events ,problemliao ,friends ,commandos ,it ,unit ,navy ,police ,mates ,squad",12
482,private,0.8529411764705882,"does ,does ,knew ,took ,knew ,took",12
483,problems,0.8636363636363636,"have ,have ,have ,cause ,depends ,have ,give",12
484,attire,0.875,"what ,sat ,change ,dumbi",12
485,liable,0.8554216867469879,"wose ,officers ,wose ,officers ,wose ,officers ,wose ,officers ,u ,i ,you ,you ,you",12
487,lucky,0.8679245283018868,"you ,reservist ,everybody ,im ,youre ,get ,yall ,yall",12
489,talk,0.88,"you ,you ,condition ,they",11
490,worse,0.85,"whats ,is ,whats ,is",11
492,waive,0.8625,"they ,ippt ,they ,windowi ,they ,they ,they ,ippt ,they ,ippt ,unit ,requirement",11
493,walk,0.8529411764705882,"you ,u ,u ,most ,who ,khatibcamp ,walki ,tales ,clock ,i ,nobodycare",11
494,realise,0.8556701030927835,"that ,youre ,counter ,they ,those ,it ,they ,issue ,people ,they ,number ,they ,number ,they ,you",11
