,Avg_sent,Descriptors,Freq
boat,1.0,carry,1
carry,1.0,"finish ,boat ,back",1
assaultboat,1.0,sitassault,1
sitassault,1.0,assaultboat,1
script,1.0,"self ,digging",1
self,1.0,script,1
pools,1.0,selarang,1
selarang,1.0,pools,1
else,1.0,go,1
log,1.0,wooden,1
wooden,1.0,log,1
hopeeveryone,1.0,clear,1
ipt_rt,1.0,tomorrowresume,1
tomorrowresume,1.0,ipt_rt,1
meaning,1.0,understand,1
minimum,1.0,items,1
sleeves,1.0,"calf ,wearing",1
calf,1.0,sleeves,1
singlet,1.0,"long ,wear ,enough",1
pants,1.0,"running ,wear",1
wear,1.0,"questions ,tights ,pants",1
tights,1.0,"short ,compression ,wear",1
compression,1.0,tights,1
short,1.0,tights,1
comprehensive,1.0,"guideline ,really",1
guideline,1.0,comprehensive,1
questions,1.0,wear,1
stint,1.0,upcoming,1
upcoming,1.0,stint,1
promptly,1.0,get,1
topic,1.0,know,1
furthermore,1.0,ipptrelated,1
nevertheless,1.0,matter,1
offences,1.0,related,1
related,1.0,offences,1
commanders,1.0,unit,1
understandsian,1.0,dununderstand,1
dununderstand,1.0,understandsian,1
items,1.5,"minimum ,bring",1
funky_banana,1.0,wrote,1
colour,1.0,tags,1
trainers,1.0,include,1
booklet,1.0,"ns ,try",1
recorded,1.0,attendance,1
aerobics,1.0,kpop,1
kpop,1.0,aerobics,1
classes,1.0,evening,1
purple,1.0,tag,1
personnel,1.0,obese,1
obese,1.0,personnel,1
managementprogramme,1.0,"green ,weightmanagement",1
weightmanagement,1.0,managementprogramme,1
fitness,1.0,aerobic,1
tags,1.0,"colour ,giving",1
aerobic,1.0,fitness,1
version,1.0,"imo ,intensive",1
intensive,1.0,version,1
imo,1.0,version,1
bars,1.0,weighted,1
bells,1.0,kettle,1
mostly,1.0,body,1
body,1.0,"upper ,mostly",1
upper,1.0,body,1
strength,1.0,blue,1
ippt_ictipptippt_ictippt,1.0,attempted,1
workcycle,0.5,whole,1
sryi,1.0,got,1
slightly,1.0,late,1
sat_sun,1.0,"sat_sun ,iptippt",1
wrongly,1.0,heard,1
causei,1.0,"doubtcause ,heard",1
doubtcause,1.0,causei,1
following,1.0,answers,1
hopefully,1.0,help,1
instructor,1.0,explain,1
earlier,1.0,post,1
sad,1.0,feel,1
feel,0.6666666666666666,"tiocall ,really ,sad",1
holan,1.0,bo,1
man,0.8,"unit ,call ,back ,year ,nightmare",1
ippttill,1.0,40,1
suffering,2.0,one,1
complete,0.8333333333333334,"reservist ,usually ,cycles",1
unfair,1.0,simi,1
simi,1.5,"one ,unfair",1
serve,0.5,reservist,1
consultation,1.0,"specialist ,seeking",1
yearseptember,1.0,next,1
apparently,1.0,got,1
justme,1.0,"confirmation ,wrote",1
confirmation,1.0,justme,1
realize,1.0,"reason ,hq",1
weather,2.0,warm,1
warm,1.5,"weather ,warm",1
thingðÿ™ðÿ,1.0,ðÿ™ðÿ»,1
dunwan,1.0,go,1
reservice,2.0,one,1
